Visit_Id,Person_Id,Place_Id,Entry_Time,Exit_Time
1,197,45,2022-11-22T04:43:02,2022-11-22T14:54:09
2,992,78,2022-11-24T11:33:28,2022-11-25T02:49:10
3,445,41,2022-11-05T10:58:37,2022-11-06T02:06:02
4,1079,61,2022-11-22T03:42:38,2022-11-22T11:53:51
5,466,76,2022-11-13T09:43:35,2022-11-14T04:25:51
6,132,52,2022-11-24T03:13:08,2022-11-24T14:44:12
7,1026,62,2022-10-29T07:20:32,2022-10-30T06:03:45
8,170,23,2022-11-25T17:16:14,2022-11-26T06:23:15
9,907,62,2022-11-26T10:05:10,2022-11-27T05:21:03
10,369,53,2022-11-23T11:18:36,2022-11-23T12:58:24
11,601,89,2022-11-13T15:13:25,2022-11-14T01:05:36
12,965,97,2022-11-14T09:58:49,2022-11-15T04:03:57
13,1095,47,2022-11-20T07:14:39,2022-11-20T22:29:06
14,51,16,2022-11-27T11:56:59,2022-11-27T17:07:10
15,157,71,2022-11-12T08:52:17,2022-11-12T23:17:20
16,49,62,2022-11-24T03:02:05,2022-11-24T20:14:26
17,180,64,2022-11-08T06:25:48,2022-11-08T15:07:42
18,290,101,2022-11-20T09:46:02,2022-11-20T11:08:44
19,380,24,2022-11-02T08:45:13,2022-11-03T03:49:05
20,1151,14,2022-11-24T19:03:45,2022-11-25T02:29:20
21,92,6,2022-11-02T00:10:39,2022-11-02T11:09:09
22,1264,59,2022-11-21T10:51:57,2022-11-22T06:36:24
23,543,48,2022-10-31T07:17:11,2022-11-01T06:44:36
24,921,66,2022-11-01T13:40:02,2022-11-02T02:16:25
25,1,54,2022-10-31T19:56:42,2022-11-01T07:57:03
26,1463,39,2022-11-21T05:29:59,2022-11-21T10:48:29
27,676,99,2022-11-27T09:46:07,2022-11-27T17:37:51
28,481,62,2022-11-17T05:32:30,2022-11-17T11:43:49
29,1335,67,2022-11-15T21:32:35,2022-11-16T11:40:33
30,671,75,2022-11-18T09:40:39,2022-11-19T00:23:28
31,1232,1,2022-11-05T19:14:11,2022-11-05T20:50:49
32,118,98,2022-11-24T13:22:01,2022-11-24T21:15:20
33,676,61,2022-11-02T00:05:47,2022-11-02T07:17:51
34,86,1,2022-11-13T04:54:53,2022-11-13T06:49:27
35,1499,63,2022-11-27T15:57:35,2022-11-27T19:53:50
36,947,36,2022-11-07T13:43:21,2022-11-07T13:55:15
37,1124,46,2022-11-23T16:15:11,2022-11-23T17:51:11
38,1351,7,2022-11-16T05:21:10,2022-11-16T13:03:15
39,1482,16,2022-11-16T12:17:41,2022-11-16T12:22:30
40,146,101,2022-11-07T20:13:08,2022-11-08T03:53:18
41,708,101,2022-11-11T13:21:46,2022-11-11T21:50:23
42,1113,45,2022-11-05T07:27:50,2022-11-06T04:05:55
43,795,14,2022-11-19T05:37:06,2022-11-20T01:02:51
44,1175,27,2022-11-07T06:04:46,2022-11-07T23:54:01
45,151,17,2022-11-02T07:20:33,2022-11-02T09:02:29
46,884,9,2022-11-08T15:33:36,2022-11-09T00:37:55
47,723,95,2022-11-07T18:03:14,2022-11-08T01:19:05
48,751,87,2022-11-08T22:22:50,2022-11-09T11:33:49
49,506,59,2022-11-19T12:56:53,2022-11-19T19:09:52
50,1049,8,2022-11-20T06:19:24,2022-11-20T09:38:35
51,1312,94,2022-11-14T09:42:59,2022-11-15T04:45:52
52,506,34,2022-11-26T06:10:42,2022-11-27T03:33:00
53,693,20,2022-11-25T12:10:04,2022-11-25T16:29:49
54,1459,91,2022-10-29T13:34:49,2022-10-29T22:00:54
55,1251,42,2022-11-04T10:11:23,2022-11-05T02:39:59
56,584,26,2022-11-27T02:44:06,2022-11-28T00:58:49
57,334,84,2022-11-10T12:27:50,2022-11-11T03:23:01
58,335,58,2022-11-27T16:32:12,2022-11-27T17:23:58
59,1418,56,2022-11-21T02:57:19,2022-11-21T06:23:28
60,493,96,2022-11-17T20:03:50,2022-11-18T14:09:27
61,438,85,2022-11-19T08:34:15,2022-11-19T17:39:19
62,97,16,2022-11-05T16:41:16,2022-11-06T02:01:59
63,1378,71,2022-11-12T15:29:42,2022-11-13T03:13:11
64,998,12,2022-11-15T12:00:54,2022-11-16T02:28:04
65,1154,76,2022-10-30T03:34:45,2022-10-30T18:13:46
66,870,65,2022-11-22T22:37:58,2022-11-23T21:10:07
67,941,29,2022-11-06T09:46:54,2022-11-07T04:39:41
68,1177,64,2022-11-21T12:06:59,2022-11-22T07:39:29
69,751,38,2022-11-06T11:00:53,2022-11-07T10:56:14
70,1200,88,2022-11-02T03:59:56,2022-11-02T22:33:43
71,456,18,2022-11-17T13:52:50,2022-11-18T11:30:26
72,260,47,2022-11-23T14:23:36,2022-11-23T23:51:24
73,0,75,2022-10-30T13:38:22,2022-10-30T23:13:17
74,601,82,2022-11-01T01:42:28,2022-11-02T00:59:02
75,365,99,2022-11-02T05:22:32,2022-11-02T11:50:19
76,1372,47,2022-11-15T19:22:44,2022-11-16T07:35:45
77,1077,73,2022-11-16T04:41:11,2022-11-16T05:40:38
78,967,86,2022-11-05T11:47:26,2022-11-06T09:59:59
79,426,89,2022-11-05T23:20:45,2022-11-06T12:55:12
80,409,11,2022-11-06T21:32:36,2022-11-07T01:44:32
81,1150,66,2022-11-24T03:15:13,2022-11-24T04:30:19
82,1391,99,2022-11-07T09:58:44,2022-11-08T02:16:33
83,1479,78,2022-11-26T07:36:13,2022-11-26T17:21:38
84,1017,66,2022-11-03T08:21:02,2022-11-03T20:38:59
85,489,65,2022-11-06T13:34:08,2022-11-07T03:46:12
86,926,47,2022-11-01T10:17:13,2022-11-01T21:27:25
87,1065,92,2022-10-29T21:55:07,2022-10-30T04:08:37
